id;classroom;time window;is_lab;lab_type;weekday
684;B013;T1;1;5;5
685;B013;T2;1;5;5
686;B013;T3;1;5;5
687;B013;T4;1;5;5
688;B013;T5;1;5;5
689;B013;N1;1;5;5
690;B013;N2;1;5;5
691;B013;N3;1;5;5
692;B013;N4;1;5;5
693;B013;N5;1;5;5
694;B013;M1;1;5;6
695;B013;M2;1;5;6
696;B013;M3;1;5;6
697;B013;M4;1;5;6
698;B013;M5;1;5;6
699;B013;T1;1;5;6
700;B013;T2;1;5;6
701;B013;T3;1;5;6
702;B013;T4;1;5;6
703;B013;T5;1;5;6
704;B013;N1;1;5;6
705;B013;N2;1;5;6
706;B013;N3;1;5;6
707;B013;N4;1;5;6
708;B013;N5;1;5;6
709;I201;N1;0;0;4
710;I201;N2;0;0;4
711;I201;N3;0;0;4
712;I202;N2;0;0;2
713;I202;N3;0;0;2
714;I202;N4;0;0;2
715;I202;N5;0;0;2
716;I202;N4;0;0;3
717;I202;N5;0;0;3
718;I202;N2;0;0;5
719;I202;N3;0;0;5
720;I201;N4;0;0;4
721;I201;N5;0;0;4
722;I201;N1;0;0;6
723;I201;N2;0;0;6
724;I201;N3;0;0;6
725;I201;M4;0;0;7
726;I201;M5;0;0;7
727;I201;M6;0;0;7
728;P102;T2;0;0;2
729;P102;T3;0;0;2
730;I203;N2;0;0;2
731;I203;N3;0;0;2
732;A040;T1;0;0;3
733;A040;T2;0;0;3
734;A040;T3;0;0;3
735;I205;N2;0;0;3
736;I205;N3;0;0;3
737;I205;T4;0;0;5
738;I205;T5;0;0;5
739;I205;N4;0;0;5
740;I205;N5;0;0;5
741;P101;N2;0;0;4
742;P101;N3;0;0;4
743;P101;N1;0;0;5
744;P101;N2;0;0;5
745;P101;N3;0;0;5
746;P101;N4;0;0;5
747;P101;N5;0;0;5
748;P101;T2;0;0;6
749;P101;T3;0;0;6
750;P101;T4;0;0;6
751;I205;M4;0;0;3
752;I205;M5;0;0;3
753;I205;T4;0;0;4
754;I205;T5;0;0;4
755;P003;T2;0;0;4
756;P003;T3;0;0;4
757;P003;N2;0;0;4
758;P003;N3;0;0;4
759;P003;N4;0;0;4
760;P003;N5;0;0;4
761;P003;N2;0;0;5
762;P003;N3;0;0;5
763;P003;N4;0;0;5
764;P003;N5;0;0;5
765;P003;T2;0;0;6
766;P003;T3;0;0;6
767;I202;N4;0;0;4
768;I202;N5;0;0;4
